run_id,workload,router_policy,cache_model,ttft_slo_ms,requests_under_slo,goodput_under_slo,quality_adjusted_goodput,mean_quality
agent_session-cache_aware-activated_lora-1781440199858,agent_session,cache_aware,activated_lora,25.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-cache_aware-activated_lora-1781440199858,agent_session,cache_aware,activated_lora,50.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-cache_aware-activated_lora-1781440199858,agent_session,cache_aware,activated_lora,100.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-cache_aware-activated_lora-1781440199858,agent_session,cache_aware,activated_lora,150.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-cache_aware-activated_lora-1781440199858,agent_session,cache_aware,activated_lora,250.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-cache_aware-base_shared-1781440195811,agent_session,cache_aware,base_shared,25.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-cache_aware-base_shared-1781440195811,agent_session,cache_aware,base_shared,50.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-cache_aware-base_shared-1781440195811,agent_session,cache_aware,base_shared,100.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-cache_aware-base_shared-1781440195811,agent_session,cache_aware,base_shared,150.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-cache_aware-base_shared-1781440195811,agent_session,cache_aware,base_shared,250.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-cache_aware-copy_on_write-1781440203967,agent_session,cache_aware,copy_on_write,25.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-cache_aware-copy_on_write-1781440203967,agent_session,cache_aware,copy_on_write,50.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-cache_aware-copy_on_write-1781440203967,agent_session,cache_aware,copy_on_write,100.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-cache_aware-copy_on_write-1781440203967,agent_session,cache_aware,copy_on_write,150.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-cache_aware-copy_on_write-1781440203967,agent_session,cache_aware,copy_on_write,250.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-cache_aware-standard_lora-1781440191858,agent_session,cache_aware,standard_lora,25.0,46,18.382954469253317,11.172482687288959,0.6077631702768812
agent_session-cache_aware-standard_lora-1781440191858,agent_session,cache_aware,standard_lora,50.0,46,18.382954469253317,11.172482687288959,0.6077631702768812
agent_session-cache_aware-standard_lora-1781440191858,agent_session,cache_aware,standard_lora,100.0,48,19.182213359220853,11.658242804127608,0.6077631702768812
