run_id,request_count,router_policy,cache_model,workload,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_e2e_ms,p50_e2e_ms,p95_e2e_ms,p99_e2e_ms,mean_itl_ms,mean_tpot_ms,request_throughput,token_throughput,goodput_under_slo,mean_quality,quality_adjusted_goodput,cache_hit_rate,cached_prompt_token_ratio,fragmentation_index,memory_token_footprint,eviction_count,evicted_tokens,adapter_distribution,adapter_strategy,router_cache_pair
prompt_layout_ablation-oracle-standard_lora-seed11-1781443476256,64,oracle,standard_lora,prompt_layout_ablation,78.72319300710828,78.36669651313274,81.6834992937305,81.7871743021818,111.68569300710827,110.99452130539736,129.61192643473237,132.43888276530822,1.2,4.4052751320461425,8.953698303473432,245.94690027353585,8.953698303473432,0.9250948908035107,8.283020554339334,0.0,0.0,0.07948877805486285,510,1534,11906,"{'qa': 32, 'json': 32}",specialist-adapter,oracle / standard_lora
prompt_layout_ablation-cache_aware-standard_lora-seed11-1781443581105,48,cache_aware,standard_lora,prompt_layout_ablation,43.41779569950189,66.51591876832268,71.9871743021818,74.31945704373204,78.21779569950188,91.44515202688636,119.81192643473236,125.43888276530822,1.2,2.8011362248255622,12.78481438983288,370.75961730515354,12.78481438983288,0.9253907537226375,11.83094902441147,0.9097744360902256,0.46360153256704983,1.0,4480,0,0,"{'qa': 24, 'json': 24}",specialist-adapter,cache_aware / standard_lora
low_overlap_control-random-copy_on_write-seed11-1781443311098,48,random,copy_on_write,low_overlap_control,68.9250072422387,68.62104887454197,72.58943184285252,74.30849860899524,103.6000072422387,104.98943184285253,121.64154086704974,124.1505161256342,1.2,3.959783423615695,9.652508977743492,278.91729066937967,9.652508977743492,0.6302410753957726,6.083407638400408,0.4782608695652174,0.042328042328042326,1.0495981918633852,8359,0,0,"{'code': 12, 'multitask': 13, 'json': 9, 'qa': 10, 'summary': 4}",copy-on-write-delta,random / copy_on_write
mixed_tasks_same_doc-multitask-activated_lora-seed17-1781443434120,64,multitask,activated_lora,mixed_tasks_same_doc,15.972671725205046,13.689565307344278,19.448565659213152,78.68680882216128,50.07892172520504,49.263321277395875,67.21129337578405,106.28680882216128,1.2,1.8352355862404015,19.968481060499624,567.5416726413878,19.968481060499624,0.7980191473283001,15.93523022934122,0.9591054313099041,0.9270702634880803,0.5440860215053763,506,77,424,{'multitask': 64},activated-late-specialization,multitask / activated_lora
mixed_tasks_same_doc-semantic-activated_lora-seed17-1781443408458,64,semantic,activated_lora,mixed_tasks_same_doc,16.28255400322614,14.486564702046607,17.64846883065753,80.28082516078703,49.020054003226136,47.652412669237066,66.42909879797367,100.68082516078704,1.2,1.8769800277339357,20.39981432770734,556.5324346277658,20.39981432770734,0.9109519884322491,18.583251425473687,0.9591054313099041,0.9270702634880803,0.5440860215053763,506,77,424,"{'qa': 16, 'json': 16, 'summary': 16, 'code': 16}",activated-late-specialization,semantic / activated_lora
shared_doc_qa-multitask-activated_lora-seed17-1781443431947,64,multitask,activated_lora,shared_doc_qa,79.75040294745719,79.91413779349416,82.30034031346617,82.49236246906375,112.75040294745719,112.03038143431894,131.15934311030568,133.78778396907848,1.2,4.57430096051707,8.869147904207578,243.90156736570842,8.869147904207578,0.8201065236149893,7.273646055146845,0.0,0.0,0.4276094276094276,508,1503,11780,{'multitask': 64},activated-late-specialization,multitask / activated_lora
prompt_layout_ablation-oracle-standard_lora-seed17-1781443477418,64,oracle,standard_lora,prompt_layout_ablation,78.76694638600684,78.67123241900492,81.43737080805315,81.74044456442961,113.99819638600684,114.3351088819405,129.07571537023438,132.28529851810586,1.2,4.2171242110346725,8.7720686089973,257.5424518172801,8.7720686089973,0.9294578132264533,8.153267706791047,0.0,0.0,0.07948877805486285,510,1534,11906,"{'qa': 32, 'json': 32}",specialist-adapter,oracle / standard_lora
shared_doc_qa-semantic-copy_on_write-seed11-1781443411620,64,semantic,copy_on_write,shared_doc_qa,79.40511501702518,79.34411832187561,82.09709971157707,82.15898571542182,112.23636501702518,113.13903919979131,128.82501038170335,129.09168397583807,1.2,4.554594949659304,8.909768236420607,243.76569034332007,8.909768236420607,0.9212898254646238,8.20847882346219,0.0,0.0,0.501953125,514,1535,12036,{'qa': 64},copy-on-write-delta,semantic / copy_on_write
prompt_layout_ablation-semantic-copy_on_write-seed11-1781443324837,48,semantic,copy_on_write,prompt_layout_ablation,43.41779569950189,66.51591876832268,71.9871743021818,74.31945704373204,78.21779569950188,91.44515202688636,119.81192643473236,125.43888276530822,1.2,2.8011362248255622,12.78481438983288,370.75961730515354,12.78481438983288,0.9253907537226375,11.83094902441147,0.9097744360902256,0.46360153256704983,1.0129464285714285,4538,0,0,"{'qa': 24, 'json': 24}",copy-on-write-delta,semantic / copy_on_write
mixed_tasks_same_doc-semantic-activated_lora-seed23-1781443518225,48,semantic,activated_lora,mixed_tasks_same_doc,16.660735991889297,14.65369039051534,17.54557030554094,76.649329159341,50.835735991889294,48.8604666650832,67.64539812817424,110.24932915934099,1.2,1.8912047846918074,19.671201380059635,560.2194226362817,19.671201380059635,0.9075390375591729,17.852383168091993,0.9550982226379794,0.9119014411901442,1.0,758,0,0,"{'qa': 12, 'json': 12, 'summary': 12, 'code': 12}",activated-late-specialization,semantic / activated_lora
